Title,Genre,Year,Score,Description,Poster_URL
Запутанный,"Animation, Adventure, Comedy",2010,7.8,"Рапунцель с волшебными длинными волосами провела всю свою жизнь в башне, но теперь, когда на нее наткнулся беглый вор, она впервые откроет для себя мир и поймет, кто она на самом деле.",https://image.tmdb.org/t/p/w500/ym7Kst6a4uodryxqbGOxmewF235.jpg
Большой герой 6,"Animation, Action, Adventure",2014,7.8,"Особая связь, которая возникает между огромным надувным роботом Бэймаксом и вундеркиндом Хиро Хамадой, которые объединяются с группой друзей, чтобы создать команду высокотехнологичных героев.",https://image.tmdb.org/t/p/w500/2mxS4wUimwlLmI1xp6QW6NSU361.jpg
Алиса в стране чудес,"Adventure, Family, Fantasy",2010,6.5,"Девятнадцатилетняя Алиса возвращается в волшебный мир из своего детского приключения, где она воссоединяется со старыми друзьями и узнает о своем истинном предназначении: положить конец правлению террора Красной Королевы.",https://image.tmdb.org/t/p/w500/bAGgcQ5YxFQjmHH52ETkl1Cfqqy.jpg
Полночь в Париже,"Comedy, Fantasy, Romance",2011,7.7,"Во время поездки в Париж с семьей своей невесты страдающий ностальгией сценарист обнаруживает, что каждый день в полночь он таинственным образом возвращается в 1920-е годы.",https://image.tmdb.org/t/p/w500/4wBG5kbfagTQclETblPRRGihk0I.jpg
Теория Всего,"Biography, Drama, Romance",2014,7.7,Взгляд на отношения известного физика Стивена Хокинга и его жены.,https://image.tmdb.org/t/p/w500/smKYLpwNT7iP4Z45mWssfBg9Cp9.jpg
В центре внимания,"Crime, Drama, History",2015,8.1,"Правдивая история о том, как Boston Globe раскрыла масштабный скандал, связанный с растлением малолетних и сокрытием информации в местной католической архиепархии, потрясший до глубины души всю Католическую церковь.",https://image.tmdb.org/t/p/w500/6UTK5qczS5JvSktoilyMstrvOZr.jpg
Убирайся,"Horror, Mystery, Thriller",2017,7.7,"Молодой афроамериканец приезжает на выходные к родителям своей белой девушки, и его нарастающее беспокойство по поводу их приема в конце концов достигает точки кипения.",https://image.tmdb.org/t/p/w500/3Z6ADt1OqLtz74S4CuX6QVfFUr0.jpg
Спектр,"Action, Adventure, Thriller",2015,6.8,Зашифрованное сообщение из прошлого 007 отправляет его на борьбу с таинственной террористической организацией под названием «Спектр» и узнаёт о её причастности к предыдущим событиям его самых опасных миссий.,https://image.tmdb.org/t/p/w500/zj8ongFhtWNsVlfjOGo8pSr7PQg.jpg
Бегущий по лезвию 2049,"Drama, Mystery, Sci-Fi",2017,8,"Молодой бегущий по лезвию обнаруживает давно похороненную тайну, что приводит его к поиску бывшего бегущего по лезвию Рика Декарда, который пропал без вести тридцать лет назад.",https://image.tmdb.org/t/p/w500/gajva2L0rPYkEWjzgFlBXCAVBE5.jpg
Посох по хребту,"Biography, Drama, History",2016,8.1,"Американский военный медик времен Второй мировой войны Десмонд Т. Досс, участвовавший в битве за Окинаву, отказывается убивать людей и становится первым человеком в истории Америки, получившим Медаль Почета без единого выстрела.",https://image.tmdb.org/t/p/w500/wuz8TjCIWR2EVVMuEfBnQ1vuGS3.jpg
Форсаж 6,"Action, Crime, Thriller",2013,7.1,"Хоббс заставляет Доминика и Брайана вновь собрать свою команду, чтобы уничтожить группу наемников: Доминик неожиданно оказывается в затруднительном положении, столкнувшись со своей предположительно погибшей девушкой Летти.",https://image.tmdb.org/t/p/w500/3EXOOkhSmJQ9DisNmIjZ8Xi633I.jpg
Со временем,"Action, Sci-Fi, Thriller",2011,6.7,"В будущем, где люди перестают стареть в 25 лет, но созданы так, чтобы жить только один год, наличие средств, чтобы купить себе выход из ситуации, является шансом на бессмертную молодость. Здесь Уилл Салас оказывается обвиненным в убийстве и в бегах с заложником — связь, которая становится важной частью пути против системы.",https://image.tmdb.org/t/p/w500/ikRoKb433FgJtd6KvdQGrMuUwKM.jpg
Годзилла,"Action, Adventure, Sci-Fi",2014,6.4,"Мир охвачен появлением чудовищных существ, но одно из них может оказаться единственным, кто может спасти человечество.",https://image.tmdb.org/t/p/w500/z1p34vh7dEOnLDmyCrlUVLuoDzd.jpg
Люди Икс: Апокалипсис,"Action, Adventure, Sci-Fi",2016,7,"После возрождения первого в мире мутанта, разрушителя мира Апокалипсиса, Люди Икс должны объединиться, чтобы помешать его плану по уничтожению всего человечества.",https://image.tmdb.org/t/p/w500/2mtQwJKVKQrZgTz49Dizb25eOQQ.jpg
Гадкий Я 2,"Animation, Adventure, Comedy",2013,7.4,"Когда Грю, самый плохой в мире человек, ставший суперпапой, был нанят командой чиновников, чтобы остановить смертоносную силу и множество его собственных приспешников, ему приходится дать отпор с помощью новых гаджетов, машин и еще большего безумия миньонов.",https://image.tmdb.org/t/p/w500/9lOloREsAhBu0pEtU0BgeR1rHyo.jpg
Малыш-драйвер,"Action, Crime, Drama",2017,7.6,"Молодой водитель, скрывшийся с места преступления, после того, как его заставили работать на криминального авторитета, оказывается втянутым в ограбление, обреченное на провал.",https://image.tmdb.org/t/p/w500/rmnQ9jKW72bHu8uKlMjPIb2VLMI.jpg
Хижина в лесу,"Comedy, Horror",2012,7,"Пятеро друзей отправляются на отдых в отдаленную хижину, где они получают больше, чем ожидали, узнав правду о хижине в лесу.",https://image.tmdb.org/t/p/w500/kjDXrK3ReIwuDrpWElI5OQkKYTA.jpg
Форсаж 7,"Action, Crime, Thriller",2015,7.2,Декард Шоу стремится отомстить Доминику Торетто и его семье за ​​своего находящегося в коме брата.,https://image.tmdb.org/t/p/w500/ktofZ9Htrjiy0P6LEowsDaxd3Ri.jpg
Скотт Пилигрим против всего мира,"Action, Comedy, Fantasy",2010,7.5,"Скотт Пилигрим должен победить семерых злых бывших любовников своей новой девушки, чтобы завоевать ее сердце.",https://image.tmdb.org/t/p/w500/g5IoYeudx9XBEfwNL0fHvSckLBz.jpg
Храбрый,"Animation, Adventure, Comedy",2012,7.1,"Решив найти свой собственный путь в жизни, принцесса Мерида бросает вызов обычаю, который приносит хаос в ее королевство. Получив одно желание, Мерида должна положиться на свою храбрость и свои навыки стрельбы из лука, чтобы снять чудовищное проклятие.",https://image.tmdb.org/t/p/w500/xl7U8ADcvmrfgoPTy8rFhSlJRrZ.jpg
Форсаж 5,"Action, Crime, Thriller",2011,7.3,"Доминик Торетто и его команда уличных гонщиков планируют крупное ограбление, чтобы выкупить свою свободу, находясь под прицелом могущественного бразильского наркобарона и опасного федерального агента.",https://image.tmdb.org/t/p/w500/gEfQjjQwY7fh5bI4GlG0RrBu7Pz.jpg
Фантастические твари и где они обитают,"Adventure, Family, Fantasy",2016,7.4,"Приключения писателя Ньюта Саламандера в тайном сообществе ведьм и волшебников Нью-Йорка за семьдесят лет до того, как Гарри Поттер прочитал его книгу в школе.",https://image.tmdb.org/t/p/w500/hRHkrmHx3wamc1cSazepEoyBays.jpg
Легко А,"Comedy, Drama, Romance",2010,7.1,"Чистоплотная ученица старших классов полагается на школьные слухи, чтобы улучшить свое социальное и финансовое положение.",https://image.tmdb.org/t/p/w500/ylFfhLWNO6Na38AeI0q69H3v9IX.jpg
Ральф-разрушитель,"Animation, Adventure, Comedy",2012,7.7,"Злодей из видеоигры хочет стать героем и намеревается осуществить свою мечту, но его стремление приносит хаос во весь зал игровых автоматов, где он живет.",https://image.tmdb.org/t/p/w500/zWoIgZ7mgmPkaZjG0102BSKFIqQ.jpg
Облачный атлас,"Action, Drama, Mystery",2012,7.5,"Исследование того, как поступки отдельных людей влияют друг на друга в прошлом, настоящем и будущем, как одна душа превращается из убийцы в героя, а акт доброты отражается на протяжении веков, вдохновляя революцию.",https://image.tmdb.org/t/p/w500/mxcvshnizr7frjN8WMKPQRJ3LmY.jpg
Маниболл,"Biography, Drama, Sport",2011,7.6,"Успешная попытка генерального менеджера «Окленд А» Билли Бина собрать бейсбольную команду при ограниченном бюджете, используя компьютерный анализ для привлечения новых игроков.",https://image.tmdb.org/t/p/w500/myRHYxfLpgwwRd13kcrRqxG6jAj.jpg
Это,"Horror, Thriller",2017,7.4,"Летом 1989 года группа детей, подвергающихся издевательствам, объединяется, чтобы уничтожить монстра, способного менять форму и маскирующегося под клоуна, который нападает на детей Дерри, их небольшого городка в штате Мэн.",https://image.tmdb.org/t/p/w500/nL1XugFWQLN2GKCYLR1XM7SbuHL.jpg
127 часов,"Adventure, Biography, Drama",2010,7.6,"Отважный альпинист попадает в ловушку под валуном во время одиночного сплава по каньону недалеко от Моаба, штат Юта, и прибегает к отчаянным мерам, чтобы выжить.",https://image.tmdb.org/t/p/w500/xbszsQv3ifdFZtQu8CzNh4zh0MX.jpg
Супер 8,"Mystery, Sci-Fi, Thriller",2011,7,Летом 1979 года группа друзей становится свидетелями крушения поезда и расследует последующие необъяснимые события в их маленьком городке.,https://image.tmdb.org/t/p/w500/sytFL6ALMAesKZoarlp7bIDKnns.jpg
Город,"Crime, Drama, Thriller",2010,7.6,"Планируя свое следующее задание, опытный вор пытается найти баланс между чувствами к банковскому менеджеру, связанному с одним из его предыдущих ограблений, а также к агенту ФБР, который хочет поймать его и его команду.",https://image.tmdb.org/t/p/w500/wAsthOAVcCukXHV9UHNnQbvCQEL.jpg
Сикарио,"Action, Crime, Drama",2015,7.6,Идеалистичный агент ФБР нанят правительственной целевой группой для оказания помощи в обостряющейся войне с наркотиками в приграничной зоне между США и Мексикой.,https://image.tmdb.org/t/p/w500/msqWSQkU403cQKjQHnWLnugv7EY.jpg
Отрочество,Drama,2014,7.9,Жизнь Мейсона с раннего детства до поступления в колледж.,https://image.tmdb.org/t/p/w500/qiyCJv07L875XQuiOYjbq24JB8n.jpg
22 Джамп Стрит,"Action, Comedy, Crime",2014,7,"После окончания средней школы (дважды) офицеров Шмидта и Дженко ждут большие перемены, когда они отправляются на работу под прикрытием в местный колледж.",https://image.tmdb.org/t/p/w500/850chzYHYbT3IISl6Q7dbBuFP2B.jpg
Секс по дружбе,"Comedy, Romance",2011,6.6,"Молодые мужчина и женщина решают вывести свою дружбу на новый уровень, не становясь парой, но вскоре обнаруживают, что добавление секса приводит только к осложнениям.",https://image.tmdb.org/t/p/w500/nKhhDFCdzxeJ3GUunQ570LDpUkz.jpg
Боец,"Biography, Drama, Sport",2010,7.8,"Основано на истории Микки Уорда, начинающего боксера, который пытается вырваться из тени своего более известного, но проблемного старшего брата-боксера и получить свой собственный шанс добиться величия.",https://image.tmdb.org/t/p/w500/8Z8dptJEypuLoOQro1WugD855YE.jpg
Виноваты звезды,"Drama, Romance",2014,7.7,"Двое подростков, больных раком, отправляются в жизнеутверждающее путешествие, чтобы навестить затворнического писателя в Амстердаме.",https://image.tmdb.org/t/p/w500/ep7dF4QR4Mm39LI958V0XbwE0hK.jpg
Неудержимые,"Action, Adventure, Thriller",2010,6.5,"Оперативник ЦРУ нанимает команду наемников, чтобы устранить латиноамериканского диктатора и ренегата-агента ЦРУ.",https://image.tmdb.org/t/p/w500/iwsMu0ehRPbtaSxqiaUDQB9qMWT.jpg
Люди в черном 3,"Action, Adventure, Comedy",2012,6.8,"Агент J отправляется во времени в 1969 год, в ранние годы существования M.I.B., чтобы помешать инопланетянину убить его друга Агента К. и изменить историю.",https://image.tmdb.org/t/p/w500/90DdoEStzeObs96fsYf4GG544iN.jpg
Срок оплаты,"Adventure, Comedy, Drama",2010,6.6,"Нервозный будущий отец Питер Хайман вынужден отправиться в путешествие попутчиком с начинающим актером Итаном Тремблеем, чтобы успеть на рождение своего ребенка.",https://image.tmdb.org/t/p/w500/sBxWS09pOOyXZ0dcnqfqqCAQGan.jpg
Миссия невыполнима - Племя изгоев,"Action, Adventure, Thriller",2015,7.4,"Итан и его команда берутся за самую невыполнимую миссию: уничтожить Синдикат — международную преступную организацию, столь же опытную, как и они сами, которая поставила перед собой цель уничтожить МВФ.",https://image.tmdb.org/t/p/w500/sGvcWcI99OTXLzghD7qXw00KaY5.jpg
50/50,"Comedy, Drama, Romance",2011,7.7,"Вдохновленная реальной историей комедия о 27-летнем парне, который узнает о своем диагнозе «рак» и о его последующей борьбе с болезнью.",https://image.tmdb.org/t/p/w500/8f9tM9JVB4ETBhxlQcXIjLckArl.jpg
Полет,"Drama, Thriller",2012,7.3,"Пилот авиакомпании спасает почти всех пассажиров своего неисправного авиалайнера, который в конечном итоге терпит крушение, но расследование аварии выявляет нечто тревожное.",https://image.tmdb.org/t/p/w500/p3qjOc9jLl7QBoUIkF77JgoidPp.jpg
Малефисента,"Action, Adventure, Family",2014,7,"Мстительная фея решает проклясть маленькую принцессу, но вскоре обнаруживает, что этот ребенок может оказаться единственным человеком, способным восстановить мир на их неспокойной земле.",https://image.tmdb.org/t/p/w500/vloNTScJ3w7jwNwtNGoG8DbTThv.jpg
Дэдпул 2,"Action, Adventure, Comedy",2018,7.8,"Сквернословящий мутант-наемник Уэйд Уилсон (он же Дэдпул) собирает команду таких же мутантов-негодяев, чтобы защитить молодого мальчика со сверхъестественными способностями от жестокого киборга Кейбла, путешествующего во времени.",https://image.tmdb.org/t/p/w500/5Ka49BWWyKMXr93YMbH5wLN7aAM.jpg
Расколоть,"Horror, Thriller",2016,7.3,Три девушки похищены мужчиной с диагностированными 23 отдельными личностями. Они должны попытаться сбежать до очевидного появления страшной новой 24-й.,https://image.tmdb.org/t/p/w500/lli31lYTFpvxVBeFHWoe5PMfW5s.jpg
Лига Справедливости,"Action, Adventure, Fantasy",2017,6.5,"Воодушевленный восстановленной верой в человечество и вдохновленный самоотверженным поступком Супермена, Брюс Уэйн заручается поддержкой своей новой союзницы, Дианы Принс, чтобы противостоять еще более сильному врагу.",https://image.tmdb.org/t/p/w500/eifGNCSDuxJeS1loAXil5bIGgvC.jpg
Комната,"Drama, Thriller",2015,8.2,"Женщина и ее маленький сын, долгие годы находившиеся в плену в замкнутом пространстве, наконец обретают свободу, позволяя мальчику впервые ощутить внешний мир.",https://image.tmdb.org/t/p/w500/4m5Q48jSNYZQxitun83c927C7Sw.jpg
Лего Фильм,"Animation, Action, Adventure",2014,7.8,"Обычный строитель LEGO, которого считали «особенным» по пророчеству, призван присоединиться к миссии по предотвращению попыток злого тирана погрузить вселенную LEGO в вечный застой.",https://image.tmdb.org/t/p/w500/snGwr2gag4Fcgx2OGmH9otl6ofW.jpg
Большая игра на понижение,"Biography, Comedy, Drama",2015,7.8,"В 2006-7 годах группа инвесторов сделала ставку против ипотечного рынка США. В своих исследованиях они обнаружили, насколько этот рынок несовершенен и коррумпирован.",https://image.tmdb.org/t/p/w500/scVEaJEwP8zUix8vgmMoJJ9Nq0w.jpg
Трон,"Action, Adventure, Fantasy",2010,6.8,"Сын дизайнера виртуального мира отправляется на поиски своего отца и оказывается внутри цифрового мира, который спроектировал его отец. Он встречает испорченное творение отца и уникального союзника, который родился внутри цифрового мира.",https://image.tmdb.org/t/p/w500/rf60aet9oqigM4pVDCyyiMGt5Nb.jpg
"Три билборда на границе Эббинга, Миссури","Comedy, Crime, Drama",2017,8.2,"Мать лично бросает вызов местным властям, чтобы они раскрыли убийство ее дочери, когда им не удается поймать преступника.",https://image.tmdb.org/t/p/w500/pZRhqJj0DBy4ghB7g6pU7MGHsWJ.jpg
Пассажиры,"Drama, Romance, Sci-Fi",2016,7,"Космический корабль, летящий на далекую планету-колонию и перевозящий тысячи людей, сталкивается с неисправностью в спальных камерах. В результате двое пассажиров просыпаются на 90 лет раньше времени.",https://image.tmdb.org/t/p/w500/i3473BJthkxCpvaIxXEG9zWHWWX.jpg
Уравнитель,"Action, Crime, Thriller",2014,7.2,"Мужчина считает, что оставил свое таинственное прошлое позади и посвятил себя началу новой, тихой жизни. Но когда он встречает молодую девушку, находящуюся под контролем крайне жестоких русских гангстеров, он не может оставаться в стороне - он должен ей помочь.",https://image.tmdb.org/t/p/w500/9u4yW7yPA0BQ2pv9XwiNzItwvp8.jpg
Королевство восхода луны,"Adventure, Comedy, Drama",2012,7.8,"Пара молодых влюбленных сбегает из своего городка в Новой Англии, после чего местная поисковая группа отправляется на их поиски.",https://image.tmdb.org/t/p/w500/xrziXRHRQ7c7YLIehgSJY8GQBsx.jpg
Университет Монстров,"Animation, Adventure, Comedy",2013,7.3,"Взгляд на отношения Майка и Салли во время их обучения в Университете монстров, когда они не были лучшими друзьями.",https://image.tmdb.org/t/p/w500/y7thwJ7z5Bplv6vwl6RI0yteaDD.jpg
Интервью,Comedy,2014,6.6,"Дэйв Скайларк и его продюсер Аарон Рапапорт ведут шоу знаменитостей ""Skylark Tonight"". Когда они берут интервью у неожиданного поклонника, северокорейского диктатора Ким Чен Ына, их вербует ЦРУ, чтобы убить его.",https://image.tmdb.org/t/p/w500/t3GQIaWZJF8R4zxNBVWgwEgROj4.jpg
Настоящая сталь,"Action, Drama, Family",2011,7.1,"В ближайшем будущем бокс роботов станет топовым видом спорта. Промоутер, испытывающий трудности, чувствует, что нашел чемпиона в выброшенном роботе.",https://image.tmdb.org/t/p/w500/4GIeI5K5YdDUkR3mNQBoScpSFEf.jpg
Хьюго,"Adventure, Drama, Family",2011,7.5,"В Париже в 1931 году сирота по имени Хьюго Кабре, живущий в стенах железнодорожного вокзала, оказывается втянутым в тайну, связанную с его покойным отцом и автоматом.",https://image.tmdb.org/t/p/w500/9QT6XZ9eDpAgMJZECSjGPfygp1K.jpg
Отверженные,"Drama, History, Musical",2012,7.6,"Во Франции XIX века Жан Вальжан, на которого десятилетиями охотился безжалостный полицейский Жавер после нарушения условно-досрочного освобождения, соглашается заботиться о дочери рабочего фабрики. Это решение меняет их жизни навсегда.",https://image.tmdb.org/t/p/w500/taX727H58p3jzcOgSzNUo9b0Qsp.jpg
Трансформеры: Эпоха истребления,"Action, Adventure, Sci-Fi",2014,5.7,"Автоботам приходится скрываться от охотника за головами, который захватил контроль над человеческой удачей: неожиданно Оптимус Прайм и его оставшаяся банда обращаются за помощью к механику, его дочери и ее парню, уличному гонщику.",https://image.tmdb.org/t/p/w500/4ACxxNFsifxyZz8KQdd7zwQqTPW.jpg
Джек Ричер,"Action, Crime, Thriller",2012,7,"Следователь по расследованию убийств углубляется в дело, в котором фигурирует обученный военный снайпер, застреливший пятерых случайных жертв.",https://image.tmdb.org/t/p/w500/uQBbjrLVsUibWxNDGA4Czzo8lwz.jpg
Истинная сила воли,"Adventure, Drama, Western",2010,7.6,"Упрямая девушка-подросток обращается за помощью к жесткому маршалу США, чтобы выследить убийцу своего отца.",https://image.tmdb.org/t/p/w500/tCrB8pcjadZjsDk7rleGJaIv78k.jpg
Неудержимые 2,"Action, Adventure, Thriller",2012,6.6,"Мистер Чёрч воссоединяет «Неудержимых» ради, казалось бы, лёгкой добычи, но когда одного из них убивают на работе, их стремление к мести заводит их вглубь вражеской территории и заставляет столкнуться с неожиданной угрозой.",https://image.tmdb.org/t/p/w500/4EBO8aIeP2bF1jGpwbuRS4CFMca.jpg
Соль,"Action, Mystery, Thriller",2010,6.4,"Агент ЦРУ бежит после того, как перебежчик обвиняет ее в том, что она — российская шпионка.",https://image.tmdb.org/t/p/w500/AgccDX4hAiXPdPr5s2DboKHwfKy.jpg
Пятьдесят оттенков серого,"Drama, Romance, Thriller",2015,4.1,"Жизнь студентки литературного факультета Анастейши Стил меняется навсегда, когда она встречает красивого, но измученного миллиардера Кристиана Грея.",https://image.tmdb.org/t/p/w500/63kGofUkt1Mx0SIL4XI4Z5AoSgt.jpg
Тайная жизнь Уолтера Митти,"Adventure, Comedy, Drama",2013,7.3,"Когда его работа и работа его коллеги оказываются под угрозой, Уолтер принимает меры в реальном мире, отправляясь в глобальное путешествие, которое превращается в приключение, более необычное, чем все, что он мог себе представить.",https://image.tmdb.org/t/p/w500/cctKBFz6VoDDW56PbuWiq4F9Nmr.jpg
Взят 2,"Action, Crime, Thriller",2012,6.3,"В Стамбуле отставной агент ЦРУ Брайан Миллс и его жена взяты в заложники отцом похитителя, которого Миллс убил, спасая свою дочь.",https://image.tmdb.org/t/p/w500/yzAlcuJhpnxRPjaj7AHBRbNPQCJ.jpg
КРАСНЫЙ,"Action, Comedy, Crime",2010,7.1,"Когда его мирной жизни угрожает высокотехнологичный убийца, бывший агент секретных операций Фрэнк Мозес вновь собирает свою старую команду в последней отчаянной попытке выжить и раскрыть своих нападавших.",https://image.tmdb.org/t/p/w500/iWdpfbrBVdeVG8N2QGziKUNHQWF.jpg
Наследие Борна,"Action, Adventure, Thriller",2012,6.7,"Расширение вселенной романов Роберта Ладлэма, в центре которого — новый герой, ставки которого были повышены в результате событий предыдущих трех фильмов.",https://image.tmdb.org/t/p/w500/1aExL5DTGHj25ZfIC3dDwS84RWi.jpg
Книга Илая,"Action, Adventure, Drama",2010,6.9,"Постапокалиптическая история, в которой одинокий человек пробирается через Америку, чтобы защитить священную книгу, хранящую секреты спасения человечества.",https://image.tmdb.org/t/p/w500/1H1y9ZiqNFaLgQiRDDZLA55PviW.jpg
Форма воды,"Adventure, Drama, Fantasy",2017,7.4,"В 1960-х годах в совершенно секретном исследовательском центре одинокий уборщик устанавливает уникальные отношения с земноводным существом, которое содержится в неволе.",https://image.tmdb.org/t/p/w500/9zfwPffUXpBrEP26yp0q1ckXDcj.jpg
Похмелье Часть III,"Comedy, Crime",2013,5.8,"Когда одного из них похищает разъяренный гангстер, Волчья стая должна выследить мистера Чоу, который сбежал из тюрьмы и находится в бегах.",https://image.tmdb.org/t/p/w500/vtxuPWkdllLNLVyGjKYa267ntuH.jpg
Как приручить дракона 2,"Animation, Action, Adventure",2014,7.8,"Когда Иккинг и Беззубик обнаруживают ледяную пещеру, где обитают сотни новых диких драконов и таинственный Всадник Дракона, двое друзей оказываются в центре битвы за сохранение мира.",https://image.tmdb.org/t/p/w500/d13Uj86LdbDLrfDoHR5aDOFYyJC.jpg
Плохие соседи,Comedy,2014,6.3,"После того, как их заставляют жить рядом с домом студенческого братства, пара с новорожденным ребенком делает все возможное, чтобы избавиться от него.",https://image.tmdb.org/t/p/w500/ejYslOKoRQdD3WWKqYEabwvPlSV.jpg
300: Расцвет империи,"Action, Fantasy, War",2014,6.2,"Греческий полководец Фемистокл возглавляет атаку на вторгшиеся персидские войска под предводительством смертного, ставшего богом, Ксеркса и Артемисии, мстительного командующего персидским флотом.",https://image.tmdb.org/t/p/w500/wYDdWN1McB1Sio4z1dPSkb40Z78.jpg
Белоснежка и Охотник,"Action, Adventure, Drama",2012,6.1,"В сказке есть и другой поворот: Охотник, которому было приказано отвести Белоснежку в лес и убить ее, в итоге становится ее защитником и наставником в стремлении победить Злую Королеву.",https://image.tmdb.org/t/p/w500/8HUa5kRubYbnAD5UVpnhTGGgMTW.jpg
Мост Шпионов,"Drama, History, Thriller",2015,7.6,"Во время Холодной войны американский адвокат был нанят для защиты арестованного советского шпиона в суде, а затем помог ЦРУ организовать обмен шпиона на захваченного Советским Союзом американского пилота самолета-разведчика U2 Фрэнсиса Гэри Пауэрса.",https://image.tmdb.org/t/p/w500/fmOOjHAQzxr0c1sfcY4qkiSRBH6.jpg
Битва титанов,"Action, Adventure, Fantasy",2010,5.8,"Полубог Персей, сын Зевса, сражается с приспешниками подземного мира, чтобы помешать им завоевать небеса и землю.",https://image.tmdb.org/t/p/w500/6iHYLipwEyZUPNO8MM3l1yHDaFE.jpg
О времени,"Comedy, Drama, Fantasy",2013,7.8,"В возрасте 21 года Тим обнаруживает, что может путешествовать во времени и менять то, что происходит и произошло в его собственной жизни. Его решение сделать свой мир лучше, заведя себе девушку, оказывается не таким уж простым, как вы могли бы подумать.",https://image.tmdb.org/t/p/w500/lUssslGayiWj470gspEUPoHRPqm.jpg
Принц Персии: Пески времени,"Action, Adventure, Fantasy",2010,6.6,"Молодые беглые принц и принцесса должны остановить злодея, который неосознанно угрожает уничтожить мир с помощью особого кинжала, который позволяет волшебному песку внутри обращать время вспять.",https://image.tmdb.org/t/p/w500/siNGMLdOUNYLEGtlsnmQcpO2XZX.jpg
10 Кловерфилд Лейн,"Drama, Horror, Mystery",2016,7.2,"Попавшую в автокатастрофу женщину держат в убежище вместе с двумя мужчинами, которые утверждают, что внешний мир пострадал от широкомасштабной химической атаки.",https://image.tmdb.org/t/p/w500/84Dhwz93vCin6T1PX6ctSvWEuNE.jpg
Джон Уик: Глава 2,"Action, Crime, Thriller",2017,7.5,"Вернувшись в преступный мир, чтобы вернуть долг, Джон Уик обнаруживает, что за его жизнь назначена большая награда.",https://image.tmdb.org/t/p/w500/hXWBc0ioZP3cN4zCu6SN3YHXZVO.jpg
Абсолютно точный,"Comedy, Music, Romance",2012,7.2,"Беку, первокурсницу Университета Бардена, уговаривают присоединиться к The Bellas, школьной женской вокальной группе. Вливая в свой репертуар столь необходимую энергию, The Bellas состязаются со своими соперниками-мужчинами в университетском конкурсе.",https://image.tmdb.org/t/p/w500/gsFoJk9g8W3zgaipRrrURk7LbiF.jpg
Зеленый Фонарь,"Action, Adventure, Sci-Fi",2011,5.5,"Безрассудный летчик-испытатель Хэл Джордан получает инопланетное кольцо, которое наделяет его потусторонними силами и позволяет ему вступить в межгалактическую полицию — Корпус Зеленых Фонарей.",https://image.tmdb.org/t/p/w500/fj21HwUprqjjwTdkKC1XZurRSpV.jpg
Коварный,"Horror, Mystery, Thriller",2010,6.8,Семья пытается помешать злым духам заточить их находящегося в коме ребенка в мире под названием «Далеко».,https://image.tmdb.org/t/p/w500/kSzJiqJBQ771Vr2RJOBdYyLPa5H.jpg
Подружки невесты,"Comedy, Romance",2011,6.8,Соревнование между подружкой невесты и свидетельницей за звание лучшей подруги невесты грозит перевернуть жизнь безработного кондитера.,https://image.tmdb.org/t/p/w500/gJtA7hYsBMQ7EM3sPBMUdBfU7a0.jpg
Ноль Темного Тридцати,"Drama, Thriller",2012,7.4,Хроника десятилетней охоты на лидера террористов «Аль-Каиды» Усаму бен Ладена после атак в сентябре 2001 года и его гибели от рук спецназа ВМС США № 6 в мае 2011 года.,https://image.tmdb.org/t/p/w500/coeTvXKAYZlrcIfsCfYV5Hw1npu.jpg
Диктатор,Comedy,2012,6.4,"Героическая история диктатора, который рисковал своей жизнью, чтобы гарантировать, что демократия никогда не придет в страну, которую он так любовно угнетал.",https://image.tmdb.org/t/p/w500/n1qz2ApKNUYwNeNySbSsN1SXDMm.jpg
Одинокий выживший,"Action, Biography, Drama",2013,7.5,В конце июня 2005 года Маркус Латтрелл и его команда отправились на задание по захвату или уничтожению печально известного лидера Талибана Ахмада Шаха. Маркусу и его команде предстоит сражаться за свои жизни в одном из самых отважных сражений современной войны.,https://image.tmdb.org/t/p/w500/zaBIrloyhGK7iNTZMb3f9SARsl8.jpg
Голодные игры: Сойка-пересмешница. Часть 2,"Action, Adventure, Sci-Fi",2015,6.6,"Китнисс и команда повстанцев из Дистрикта 13 готовятся к решающей битве, которая определит будущее Панема.",https://image.tmdb.org/t/p/w500/4FAA18ZIja70d1Tu5hr5cj2q1sB.jpg
Первому игроку приготовиться,"Action, Adventure, Sci-Fi",2018,7.6,"Когда создатель мира виртуальной реальности под названием OASIS умирает, он выпускает видео, в котором предлагает всем пользователям OASIS найти его пасхальное яйцо, нашедшему которое достается его состояние.",https://image.tmdb.org/t/p/w500/pU1ULUq8D3iRxl1fdX2lZIzdHuI.jpg
Робин Гуд,"Action, Adventure, Drama",2010,6.7,"В Англии XII века Робин и его банда мародеров борются с коррупцией в местной деревне и возглавляют восстание против короны, которое навсегда изменит баланс мировых сил.",https://image.tmdb.org/t/p/w500/urPBtgXrLZJvJwSDiz0XnfvEQ3M.jpg
Джон Картер,"Action, Adventure, Sci-Fi",2012,6.6,"Перенесенный на Барсум, ветеран Гражданской войны обнаруживает бесплодную планету, на которой, по-видимому, обитают 12-футовые варвары. Оказавшись пленником этих существ, он сбегает, но сталкивается с Вулой и принцессой, отчаянно нуждающимися в спасителе.",https://image.tmdb.org/t/p/w500/lCxz1Yus07QCQQCb6I0Dr3Lmqpx.jpg
