title,authors,published_year,categories,thumbnail,description,average_rating,num_pages
Амелия Беделия отправляется в поход,Peggy Parish,2003.0,Juvenile Fiction,http://books.google.com/books/content?id=WEEz7PKLpQkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Лагерь из Амелии Беделия никогда раньше не занималась лагерем на свежем воздухе.Она старается изо всех сил сделать именно так, как ей сказали, но подача палатки - это не то же самое, что бросить ее в кусты, и ловить рыбу голыми руками нелегко.Как обычно, смешанный домработница совершает эту походную поездку одним чрезвычайно интересным приключением.",4.14,64.0
Тайная сестра,Elizabeth Lowell,2005.0,Fiction,http://books.google.com/books/content?id=Pmjr6ytkCikC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Поиски ее сестры могли бы стоить женщине ее жизни Кристи МакКенна, самого умного писателя моды в Нью -Йорке, подумала, что она избежала своего детства на бедном сельском Западе.Затем наступил призыв к помощи от одного человека, которого она не могла отказаться - ее сестра, всемирно известная модель, известная только как Джо.Просьба Джо возвращает Кристи обратно в великолепные горы и таинственные каньоны красного рока в стране четырех уголков.Но она слишком поздно - Джо исчез.Тем не менее, Кристи действительно находит маловероятного союзника в археологе Outlaw Аароне Каине, и вместе они преследуют Джо и невероятный кэш древних индийских артефактов стоимостью миллионов.Кристи и Каин сталкиваются на каждом шагу, но их антагонизм вскоре превращается в партнерство и пылающую страсть.",3.65,416.0
Амелия Беделия помогает,Peggy Parish,2005.0,Juvenile Fiction,http://books.google.com/books/content?id=rELWOiQkJTYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"В главной роли все любимой буквальной, беспулярной домработница Амелия Беделия помогает впервые в полном цвете, и, как я могу читать книгу!Соседню нужны руки помощи Амелии Беделию, поэтому все любимая домохозяйка уходит в дом мисс Эммы на работу.Хорошо, что мисс Эмма любит смеяться, потому что Амелия Беделия делает ее обычный веселый беспорядок!«Доступно впервые в полном цвете!» - задумчивые выходки Амелии Беделия, одной из самых привлекательных персонажей детской книги, наслаждались детьми более 40 лет!""Герман Приход, племянник Пегги Пэриш, которая была первоначальным создателем Амелии Беделия, продолжает традицию своей тети с новыми книгами с участием развлекательной домработницы. Возраст 4–8",4.25,64.0
Водоворот,Elizabeth Lowell,2006.0,Fiction,http://books.google.com/books/content?id=FrnsFG4_j1oC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Когда в домашней студии Лорел Сванн появилось изысканно продуманное, подлинное имперское яйцо Фаберге, она знает, что это может быть только от одного человека - ее отца, который заходил в свою жизнь и выходила из своей жизни, насколько она могла вспомнить.Но на этот раз Джейми Суонн оставляет ей что -то, за что слишком много людей убьют.Из своей лиги и отчаяния Лорел вынуждена принять помощь от самого человека, который пытается зафиксировать своего отца в его собственной паутине двойных крестов.Круз Роуэн может помочь ей остаться в живых, но сделает ли он то же самое для ее отца?Элизабет Лоуэлл, написанная в роли Энн Максвелл, ловко объединяет безостановочное действие шпионского триллера с душераздирающим волнением истинной любви и приключений.",3.78,448.0
"Научи нас, Амелия Беделия",Peggy Parish,2004.0,Juvenile Fiction,http://books.google.com/books/content?id=gnVFCJ4sW3IC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Когда мистер Картер ошибится в привлекательной, буквальной Амелии Беделия за нового учителя, класс никогда не будет прежним!",4.21,64.0
Криптономикон,Neal Stephenson,2002.0,Fiction,http://books.google.com/books/content?id=qYAmfUBPN-UC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"С этим необычайным первым томом в том, что обещает стать эпохальным шедевром, Нил Стивенсон взламывает секретные истории наций и частные навязчивые идеи людей, дешифруя с ослепительной виртуозностью силы, которые сформировали этот столетие.В 1942 году Лоуренс Притчард Уотерхаус - математический гений и молодой капитан военно -морского флота США - назначен на отряд 2702. Это настолько секрет, что только несколько людей знают, что он существует, и у некоторых из этих людей есть имена, такие как Черчилль и РузвельтПолемМиссия Watrehouse and Detatchment 2702, связанная с морским рейдером Бобби Шафте-Хо, является неведением нацистов в том, что союзничная разведка взломала легендарный код загадки противника.Это игра, криптографический шахматный матч между Уотерхаусом и его немецким коллегой, переведенный в действие Gung-Ho Shaftoe и его силами.Перенесемся в настоящее время, где внук крипто-хакера Уотерхауса Рэнди пытается создать «убежище данных» в Юго-Восточной Азии-место, где зашифрованные данные можно хранить и обменять без репрессий и контроля.Поскольку правительства и многонациональные корпорации нападают на усилия, Рэнди объединяет усилия с жесткой, как надоедливой, Эми, чтобы тайно спасти затонувшего нацистского сумарина, которая владеет ключом к соблюдению мечты о гаване данных на плаву.Но вскоре их схема раскрывает огромный заговор с его корнями в отряде 2702, связанном с неразрушимым нацистским кодом под названием Arethusa.И это будет представлять путь к невообразимым богатствам и будущему личной и цифровой свободы ... или к возрождению универсального тоталитаризма.Захватывающая дух Tour De Force, и самая совершенная и влиятельная работа Нила Стивенсона на сегодняшний день, Cryptomonicon является глубокой и пророческой, гипнотической и гипер-управляемой, поскольку она прыгает вперед и обратно между Второй мировой войной и во всемирной паутине, намекая все времяТемный день-после завтрака.Это произведение великого искусства, мысли и творческого смелости;продукт действительно иконы",4.25,1139.0
Мальчики Ананси,Neil Gaiman,2006.0,Fiction,http://books.google.com/books/content?id=VagoPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Обычная жизнь Фат Чарли Нэнси закончилась в тот момент, когда его отец упал мертвым на сцене караоке Флориды.Чарли не знал, что его отец был Богом.И он никогда не знал, что у него есть брат.Теперь брат Паук у своего порога - о том, чтобы сделать жизнь толстым Чарли более интересной.ПолемПолемИ намного более опасно.",4.02,387.0
Хрупкие вещи,Neil Gaiman,2006.0,Fiction,http://books.google.com/books/content?id=ggLzJskmIqYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Загадочный цирк разрушает аудиторию для одного необычайного выступления, прежде чем исчезнуть в ночь, взяв одного из зрителей вместе с ним.ПолемПолемВ новелле, установленном через два года после событий американских богов, Shadow посещает древний шотландский особняк и оказывается в ловушке в игре в убийства и монстрах.ПолемПолемВ ладоне, отмеченном наградами Хьюго, в странной измененной викторианской Англии, великий детектив Шерлок Холмс должен раскрыть самое тревожное королевское убийство.ПолемПолемДва мальчика -подростка разбивают вечеринку и встречаются с девочками своей мечты - и кошмарами.ПолемПолемВ известной наград «Локус» члены облегченного эпикурского клуба оплакивают, что они съели все, что можно съесть, за исключением легендарной, редкой и чрезвычайно опасной египетской птицы.ПолемПолемТакие чудесные творения и многое другое, включая короткую историю в мире матрицы, и другие, созданные в мирах готической фантастики и детской фантастики, могут быть найдены в этой необычайной коллекции, которая демонстрирует блеск повествования Геймана, а также его ужасно развлечьТемное чувство юмора.По очереди восхитительно, тревожные и отвлекающие, хрупкие вещи - это дар литературного очарования от одного из самых уникальных писателей нашего времени.",4.01,360.0
Что пошло не так?,Bernard Lewis,2003.0,History,http://books.google.com/books/content?id=qgNrVchhhfMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"На протяжении веков мир ислама находился в авангарде человеческих достижений - главная военная и экономическая власть в мире, лидер в области искусства и наук о цивилизации.Христианская Европа рассматривалась как внешняя тьма варварства и неверия, из которой нечего учиться или бояться.И тогда все изменилось.Запад одержал победу после победы, сначала на поле битвы, а затем на рынке.В этом элегантно написанном томе Бернард Льюис, известный авторитет, исламские дела, исследует мучительную реакцию исламского мира, поскольку он пытался понять, как его обогнали, омрачали и доминировали на Западе.В увлекательном портрете культуры в смятении Льюис показывает, как Ближний Восток обратил свое внимание на понимание европейского оружия, промышленности, правительства, образования и культуры.Он также описывает, как некоторые ближневосточные затягивали вину на серию козлов отпущения, в то время как другие не спрашивали: «Кто это сделал с нами?»Но скорее ""где мы ошиблись?""С новым последовательным словом, которое касается 11 сентября, и его последствия, что пошло не так?это срочная, доступная книга, о которой никто не заинтересован в современных делах, не захочет пропустить.",3.49,186.0
Письма с Земли,Mark Twain,2004.0,Literary Criticism,http://books.google.com/books/content?id=uURT_Dwfby0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"«Я ничего не рассказал вам о человеке, который не правда».Вы должны просить меня, если я повторяю это замечание время от времени в этих буквах;Я хочу, чтобы вы серьезно относились к вещам, которые я вам говорю, и я чувствую, что если бы я был на вашем месте, и вы в моем, мне нужно время от времени это напоминание, чтобы не допустить, чтобы моя доверенность от помещения.В письмах с Земли Твен представляет себя как отец истории - рассматривая и интерпретируя события из Эдемского сада до падения и наводнения, переводя документы Адама и его потомков через поколения.Впервые опубликованные пятьдесят лет после его смерти, эта эклектическая коллекция - винтажная Twain: Sharp, остроумный, творческий, сложный и дико забавный.",4.22,321.0
Саванна Блюз,Mary Kay Andrews,2003.0,Fiction,http://books.google.com/books/content?id=q6lDgw6lr-MC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Приземлившись, как Талмадж Эванс III, получила Элоизу ""Weezie"" Фоли, драгоценный камень городского дома в историческом районе Саванны.Разводя Тал попала в сокрушенную в панели вагонов на заднем дворе, где она запустила злобную невесту с новой невестой Тала, элегантной Кэролайн Десантос.Сборщик антиквариата, париковые переулки Seazie Savannah и продажи гаража для сокровищ, когда она не имеет дело со своими родственниками или своим прибавным бывшим парнем.Но несанкционированный предварительный просмотр на продажу земли Weezie Smack в середине убийства с ароматом магноли, хаос ... и многое другое.Грязные сделки накимут вокруг нее вокруг нее, так как ее отношения с самым милым шеф -поваром в городе нагреваются, и она узнает, насколько вкусной любви может быть второй раз.",3.98,404.0
Мальчик для битья,Sid Fleischman,2003.0,Juvenile Fiction,http://books.google.com/books/content?id=zxTR6u81GY8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Принц и нистший Джемми, когда -то бедный мальчик, живущий на улицах, теперь живет в замке.Как мальчик -бьет, он выдерживает наказание, когда принц Брат плохо ведет себя, поскольку ему запрещено шлепать, трэш или ударить наследника на престол.У двух мальчиков нет ничего общего и даже меньшей причины, чтобы любить друг друга.Но когда они оказались заложниками после убегания, у них не остается выбора, кроме как доверять друг другу.",3.56,90.0
Дилемма инноватора,Clayton M. Christensen,2003.0,Business & Economics,http://books.google.com/books/content?id=qZxlDIzXyqwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"В этом революционном бестселлере профессор Гарварда Клэйтон М. Кристенсен говорит, что выдающиеся компании могут сделать все правильно и по -прежнему потерять лидерство на рынке - или, что еще хуже, полностью исчезают.И он не только доказывает то, что говорит, он говорит другим, как избежать подобной судьбы.Сосредоточив внимание на «разрушительной технологии» - например, Honda Super Cub, процессоре Intel 8088 или гидравлическом экскаваторе - Кристенсен показывает, почему большинство компаний пропускают «следующую великую волну».Будь то в электронике или розничной торговле, успешная компания с известными продуктами будет отодвинуть в сторону, если менеджеры не знают, когда отказаться от традиционных методов ведения бизнеса.Используя уроки успехов и неудач от ведущих компаний, дилемма новатора представляет ряд правил для использования феномена разрушительных инноваций.Узнайте: когда правильно не слушать клиентов.Когда инвестировать в разработку продуктов с более низким уровнем эффективности, которые обещают более низкую маржу.Когда выходить на небольшие рынки за счет, казалось бы, более крупных и более прибыльных.Островая, убедительная и провокационная, дилемма новатора является одной из самых обсуждаемых книг нашего времени-и одна не подкованная менеджер или предприниматель не должен быть без.",3.99,286.0
Нюх на убийство,Lee Charles Kelley,2003.0,Fiction,http://books.google.com/books/content?id=c3PIvgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Бывший тренер, ставший избитым, Джек Филд, вызывается, когда тело Эллисон Демарко встречается на ее кухонном полу, сопровождаемом ее высокопоставленным Airedale, Ginger, и должен привлечь свои особые навыки, чтобы выяснить, что произошло, так как Джинджер, кажется, кажетсяБудьте единственным свидетельством преступления.Оригинал",3.47,267.0
Счастье,Will Ferguson,2003.0,Fiction,http://books.google.com/books/content?id=4B2EYGj68uQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Почему будет контракт на жизнь Эдвина де Валлу?EDWIN-Wiry Lowered Editor в Panderic Press.Почему ярость исчезла с дорог, а Макдональдс ушел люцерны?Почему все кажется чертовски счастливыми?И самое главное, кто, или что, это вечер Тупак?Когда на столе Эдвина приземляется огромная рукопись самопомощи, она направлена ​​на мусор.Цинизм Эдвина книг самопомощи, в сочетании с его грязным настроением в то утро, приводит к тому, что он отклонил то, что я узнал на горе и использовал его в качестве дверной части.Тем не менее, рукопись Тупака уникальна-книга самопомощи, которая на самом деле работает.До того, как Эдвин узнал об этом, начинается цепочка событий, которая затрагивает не только его собственную жизнь, но и мир в целом.Для тех, кто задыхается от куриного супа для души или выбирает слова для доктора Фила, Уилл Фергюсон предлагает убийственную дозу счастья ™ - шедевр комической фантастики.",3.78,320.0
Воин Света,Paulo Coelho,2004.0,Fiction,http://books.google.com/books/content?id=yH0zlwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Воин света: Руководство - вдохновляющий компаньон для алхимика, международного бестселлера, который заставил миллионы читателей по всему миру.Каждый короткий отрывок приглашает нас воплотить в жизнь наши мечты, принять неопределенность жизни и подняться до нашей собственной уникальной судьбы.В своем неповторимом стиле Пауло Коэльо помогает выявить воин света в каждом из нас.Он также показывает читателям, как отправиться на путь воина: тот, кто ценит чудо живого, тот, кто принимает неудачу, и тот, чьи поиски заставляют его стать тем, кем он хочет быть.Пауло Коэльо - один из самых любимых рассказчиков нашего времени.Теперь, в долгожданном компаньоне в своем первом романе, Коэльо представляет коллекцию философских историй, которые будут радовать и направлять искателей повсюду.",3.7,142.0
Дьявол и мисс Прим,Paulo Coelho,2006.0,Fiction,http://books.google.com/books/content?id=TpR7JDmg9DoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Сообщество пожирает жадность, трусость и страх.Человек преследовал призраки его болезненного прошлого.Молодая женщина ищет счастье.На одной насыщенной неделе каждый столкнется с вопросами жизни, смертью и властью, и каждый из них выберет путь.Они выберут добро или зло?В отдаленной деревне Вискос - деревня, слишком маленькая, чтобы находиться на любой карте, где время, кажется, стоит на месте - прибывает незнакомец, несущий с собой рюкзак, содержащий ноутбук и одиннадцать золотых баров.Он приходит в поисках ответа на вопрос, который его мучает: люди, по сути, добро или зло?Приветствуя таинственного иностранца, вся деревня становится сообщником его утонченного заговора, который навсегда отметит их жизнь.Потрясающий роман Пауло Коэльо исследует вечную борьбу между добром и злом и приносит нашу повседневную новую перспективу дилеммы: стимул овладеть страхом, который мешает нам следовать за нашими мечтами, от того, что они отличаются, от действительно жизни.«Дьявол» и «Мисс Прим» - это история, заряжаемая эмоциями, в которой целостность человека встречается с ужасающим испытанием.",3.6,205.0
Большой Бинг,Stanley Bing,2006.0,Business & Economics,http://books.google.com/books/content?id=Cb3MlgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Корпоративный взгляд на общество, в котором мы все живем и работаем, создавая один из самых интересных, провокационных мыслей и просто забавных рабочих тел в современных буквах.Стэнли Бинг знает, о чем он говорит.Последние два десятилетия он прожил, работая в гигантской многонациональной корпорации, пиная и кричав все вверх по лестнице.Он видел все это-слияния, приобретения, увольнения, смерть обеда с тремя мартини-и сам был мучительно переименованным несколько раз.Он слишком много ел и пьян, оставался в отелях слишком хороша для него, ждал лимузинов под проливным дождем и наслаждался всем этим.Вроде.Самое главное, что Бинг видел управление в лучшем и худшем и худшее и практиковал оба, когда он перешел от неопытного игрока, который ненавидел напыщенного старшего руководства к отполированному стратегу, который как бы видит свою точку зрения время от времени.В одном из важных томов здесь все, что вам нужно знать, чтобы овладеть своей карьерой, вашей жизни и при необходимости, другие более слабые формы жизни.",3.08,368.0
Сто лет одиночества,Gabriel Garcia Marquez,2003.0,Fiction,http://books.google.com/books/content?id=pgPWOaOctq8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Один из устойчивых работ 20 -го века, сто лет одиночества - это широко любимый и известный роман, известный во всем мире, и окончательное достижение в карьере Нобелевской премии.Роман рассказывает историю взлета и падения мифического города Макондо в истории семьи Буэндии.Это богатая и блестящая хроника жизни и смерти, а также трагикомедия человечества.В благородной, смешной, красивой и беззаботной истории семьи Буэндии можно увидеть все человечество, как и в истории, мифах, росте и распаде Макондо, видит всю Латинскую Америку.Любовь и жажда, война и революция, богатства и бедность, молодежь и старение - разнообразие жизни, бесконечность смерти, поиск мира и истины - эти универсальные темы доминируют в романе.Независимо от того, описывает ли он дело страсти или страстной капитализма и коррупции правительства, Габриэль Гарсия Маркес всегда пишет с простотой, легкостью и чистотой, которые являются знаком мастера.Альтернативно благоговейный и комичный, сто лет одиночества сплетает политическое, личное и духовное, чтобы привнести новое сознание в рассказывание историй.Эта потрясающая работа, переведенная на десятки языков, не менее чем учет истории человеческой расы.",4.06,417.0
Уолт Уитмен,Justin Kaplan,2003.0,Biography & Autobiography,http://books.google.com/books/content?id=BMLXGLY9OzoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Гениальные, страсти, поэзию и андрогинную чувствительность Уитмена, привязанные к созданию обильной жизни среди турбулентного американского середины девятнадцатого века.В ярких деталях Каплан исследует загадочные я загадочного человека, который праздновал свободу и достоинство человека и пел восхваление демократии и братства человека.",3.99,464.0
Как заниматься любовью как порнозвезда,Jenna Jameson;Neil Strauss,2004.0,Biography & Autobiography,http://books.google.com/books/content?id=qjZzQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Когда стюардесса привела меня с самолета в инвалидной коляске, я опустил голову.Я был слишком напуган, чтобы даже смотреть на моего отца.Я не хотел видеть разочарование и ужас на его лице.Вся эта ненависть, которую я накопил для него за эти годы, все обиды на него за то, что он не понимал, через что я прохожу, только что выпустил со слезами.""Итак, где твои родители?""Стюардесса спросила меня через несколько минут.«Я не могу ждать здесь с тобой гораздо дольше».Я поднял голову и вытерла глаза.Мой отец стоял в десять футов.Он даже не узнал меня.В нижнем животе Лас-Вегаса, выгребной ячейки воюющих байкерских бандов и мощных стриптиз-клубов превратила в бомбу Дженну Джеймсон в бомбу Дженну Джеймсон.Сегодня Дженна Джеймсон - самая большая звезда в истории фильмов для взрослых, которая последовательно считается одной из самых красивых женщин в живых.Но за гламуром и метеорическим подъемом к славе был путь, проложивший трагедией и разбитым сердцем.Будучи подростком, втянутым в хаотический мир, которым управляет изнасилование, злоупотребление и убийства, Дженна погрузилась в нисходящую спираль зависимости, даже когда она стала одной из самых фотографируемых женщин в журналах для взрослых.Решив преодолеть это прошлое, Дженна восстановилась в бизнесе для взрослых, где она столкнулась с садистскими режиссерами, опытными любителями обоих полов, любовных знаменитостей (от Говарда Стерна до Мэрилин Мэнсон до Томми Ли), ожесточенных соперников, и, наконец, слава,,,,Когда она стала самой большой порнозвездой, которую когда -либо видел мир.Но ее борьба за счастье не закончилась, когда начались награды.В течение многих лет она боролась со своим обидой на своего отчужденного отца, одиночество взросления с двух лет без матери, и ее постоянное желание детства найти человека, который мог бы дать ей безопасность и любовь, которой она никогда не имела.Ее незабываемые мемуары-это много вещей одновременно: шокирующая сексуальная история, руководство инсайдера по секретной работе индустрии для взрослых в миллиард долларов и захватывающий триллер, который глубоко исследует в мрачном прошлом Дженны.Непревзойденое исследование сексуальной свободы, как заняться любовью, как порно-звездные предприятия далеко за пределами плоти, в трагедии с урезанием сердца и триумфы, напоминающие адреналин женщины, которая уже прожила сто жизни.Всегда остроумный и юмористический, даже когда она сталкивается с демонами своего прошлого, Дженна предлагает веселые анекдоты об одном из самых спорных предприятий в истории, и разделяет возмутительные советы, включая ее десять заповедей свиданий и секса, как стать «чемоданом»""И как сделать это в бизнесе как женщина (или мужчина).Добавьте к этим никогда невиданным фотографиям из частной коллекции Дженны, а другие, взятые исключительно для этой книги, и результат наверняка станет одной из самых обсуждаемых книг года.",3.75,592.0
1421,Gavin Menzies,2004.0,History,http://books.google.com/books/content?id=lD7S4QLUjBkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Основываясь на 15-летних подробных исследованиях, «1421» прослеживает путешествия необычайного флота китайских кораблей, чьи экипажи фактически наметили Америку за 70 лет до Колумба.Четыре 8-страничные цветные вставки.37 карт и диаграммы.",3.59,650.0
Штамм Андромеда,Michael Crichton,2003.0,Fiction,http://books.google.com/books/content?id=k6LVNLM_D-8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Команда ученых изо всех сил пытается определить и содержать смертоносные бактерии, возвращенные из космоса спутником.",3.89,327.0
Конго,Michael Crichton,2003.0,Fiction,http://books.google.com/books/content?id=Gp-fLBIrNY4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Вооружившись новейшими подарками передовых технологий, калифорнийским ученым, безжалостным агентом корпорации и охотником за наемником, сталкиваются с опасностями джунглей Конго в поисках алмазов потерянного города Зиндж.Перепечатка",3.58,442.0
Джонни и мертвецы,Terry Pratchett,2006.0,Juvenile Fiction,http://books.google.com/books/content?id=HgU8rJfsHmsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"После того, как двенадцатилетний Джонни Максвелл внезапно начинает видеть и разговаривать с призраками, он и его друзья участвуют в битве, чтобы спасти местное кладбище.",3.78,213.0
"Коллекция Амелии Беделии, посвященная 40-летию",Peggy Parish,2003.0,Juvenile Fiction,http://books.google.com/books/content?id=OzUIAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Все любимая литературная домохозяйка, Амелия Беделия, празднует свою 40-летие в трех книге, которую я могу прочитать.",4.41,96.0
Девушки из Лайтхаус Лейн #3,Thomas Kinkade;Erika Tamar,2005.0,Juvenile Fiction,http://books.google.com/books/content?id=2LXIPoESG9kC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Во время вспышки скарлат-лихорадки в 1906 году тринадцатилетняя Лизабет должна решить, важнее ли быть клубничной королевой или быть у кровати ее младшей сестры, которая болена.",3.96,192.0
Хроники Брэдбери,Sam Weller,2006.0,Biography & Autobiography,http://books.google.com/books/content?id=EiWCIK4vGSMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Опытный журналист Сэм Уэллер встретил Рэя Брэдбери, когда писал обложку для журнала Chicago Tribune, и провел сотни часов, брал интервью у Брэдбери, его редакторов, членов семьи и давних друзей.Благодаря беспрецедентному доступу к частным архивам, он не раскрыл никогда, прежде чем опубликованные письма, документы и фотографии, которые помогают рассказать историю этого литературного гения и его замечательное творческое путешествие.Результатом является богато текстурированная, подробная биография, которая освещает происхождение и достижения увлекательного ума Брэдбери.",4.22,384.0
Три тухлых яйца,Gregory Maguire,2005.0,Juvenile Fiction,http://books.google.com/books/content?id=t2pWlCpY3jQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Студенты класса Miss Earth в сельской местности Вермонт испытывают насыщенную весной, когда они становятся связанными с новым учеником издевательства, конкурентной охотой на яйца и генетически измененными цыплятами.",3.74,240.0
Злой день,Mary Stewart,2003.0,Fiction,http://books.google.com/books/content?id=znM3Eb8MZiMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Ублюдок Мордред, родившийся в неровных отношениях между королем Артуром и его сводной сестрой, злой колдункой Моргауз, выращивается в секретности.Призванный к Камелоту событиями, которые он не может отрицать, Мордред становится самым надежным советником Артура - роковым актом, который ведет к «злым дню судьбы», когда отец и сын должны встретиться друг с другом в битве.",4.09,417.0
Игра,Neil Strauss,2005.0,Biography & Autobiography,http://books.google.com/books/content?id=ibpvw3wALXcC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Где -то где -то, почти в каждом крупном городе мира, находится подземный соблазненный логово.И в этих местах мужчины обмениваются самыми разрушительно эффективными методами, когда -либо изобретенными, чтобы очаровать женщин.Это не художественная литература.Эти люди действительно существуют.Они живут вместе в домах, известных как проекты.И Нил Штраус, автор бестселлеров, провел два года, живя среди них, используя псевдонимный стиль, чтобы защитить свою реальную личность.Результатом является одна из самых взрывных и противоречивых книг года - гарантированно изменит жизнь мужчин и преобразует то, как женщины навсегда понимают противоположный пол.В своем путешествии из АФК (средний разочарованный чамп) в Пуа (пикап-художник) в мопс (пикап гуру), Штраус не только разделяет множество оригинальных методов соблазнения, но и в незабываемых встречах с такими такими людьми, как Том Круз, Бритни Спирс, Париж Хилтон, Хайди Флейс и Кортни Лав.И тогда все действительно начинает становиться странными - и увлечения приводят к предательствам приводят к насилию.Игра - это история о трансформации одного человека из лягушки в принц - до пленника в самой незабываемой книге года.",3.74,464.0
